,reward_0,reward_1,reward_2,reward_3,reward_4,reward_5,timestep
168,-594.631271921097,-593.3897305099965,-593.641222685442,-594.2063101587465,-588.5443046876576,-595.1988850914871,169000
169,-589.5912670929224,-596.748488856793,-595.6709537885332,-594.5228554802995,-596.5964512115379,-594.4384827760579,170000
170,-593.5935489615534,-596.9759218151763,-590.7172302710719,-589.8139568500183,-593.3780832683791,-592.585396472103,171000
171,-598.6024052233142,-594.2452273949959,-593.9060350525185,-598.1108790078658,-596.6833306698609,-594.7740490764088,172000
172,-594.7573287688049,-594.5157784633333,-594.4634231975772,-600.3501621766862,-595.3889019680975,-588.7888581393579,173000
173,-588.3921339663503,-593.9497983371874,-589.2646075142449,-595.612143441275,-592.3670775619192,-592.5758447853879,174000
174,-593.4422454737091,-593.5379177997215,-599.933734932737,-591.0577431421481,-588.900745923639,-595.177049736538,175000
175,-589.9276428254138,-596.0035525299069,-592.849531414247,-589.6570145748594,-593.6383870446781,-597.0395236565963,176000
176,-592.0530961128846,-588.1525345045635,-599.9394837431151,-595.3526941128246,-596.3062179126621,-588.1125324582723,177000
177,-589.2297974741175,-594.1733596362199,-594.0465114755185,-593.4212633421736,-600.9601390264138,-593.7005491263641,178000
178,-589.2077312278445,-590.5968075476939,-588.1294042163216,-598.7531987324599,-594.9122118712891,-595.0292465105349,179000
179,-599.3457871293211,-593.1916650010103,-590.1499278841103,-588.5144236898578,-594.0287190749367,-600.4472064238246,180000
180,-596.9019944715643,-595.4271958659943,-593.28704137068,-596.5507667266442,-597.5387504359176,-590.041324546535,181000
181,-598.4329316079713,-589.7205272302097,-590.5433947222298,-593.6322164201166,-590.9852466355414,-587.8699485887955,182000
182,-589.3675640757521,-589.809297491176,-589.1074050034334,-589.3582322573039,-590.2390863050936,-596.7353365579379,183000
183,-598.4112517988007,-593.4218736337546,-586.8393866466602,-598.9107944087017,-589.1116161296245,-597.9671335103166,184000
184,-594.5851117024929,-590.0720927297717,-596.1338303782527,-586.9828343249783,-593.8482417099989,-597.5556073037342,185000
185,-598.0471615867064,-595.3691705291619,-592.4377128814562,-594.3405065709129,-588.6405946331992,-587.8100432924878,186000
186,-595.014978429733,-589.9527858385346,-589.2886602940358,-589.7106760483478,-595.0463720397172,-594.6001446894688,187000
187,-595.8659688482064,-592.8642190512077,-595.7972725951273,-588.2782641104112,-593.6290429495526,-587.8206408794223,188000
188,-589.7696513064396,-587.4609521334467,-589.0417854290959,-589.3594299181469,-589.7261917977194,-597.2183371858736,189000
189,-589.3400066603812,-594.8704148330886,-588.6490230336927,-594.5424604155268,-588.5751113126512,-594.3349583403328,190000
190,-588.3403526680856,-593.736658441249,-594.6787785362035,-593.8849824425947,-590.3761095853903,-593.0606806035397,191000
191,-597.7999570336095,-589.2125895664057,-593.0290594814707,-598.7594138427356,-590.1388394576439,-588.3509230951777,192000
192,-591.4227432615962,-600.2014406383489,-590.3181849644272,-587.8399291754874,-594.6781256195172,-590.1006062334116,193000
